고유번호,노선,노선명칭,역명칭,운행방향1,운행방향2,엘리베이터 자막,사용여부,출구정보,전화번호
131,3,3호선,대화,대화,수서,,Y,"||1@일산백병원,장촌초등교,||,||2@장성마을,대화중교,||,||3@종합운동장||,||4@농수산물센타,예비군훈련장,||,||5@성저마을,대진고교,||,||6@전화국,우체국,주엽고||",긴급전화(역무실) : 031-917-7799
179,4,4호선,길음,당고개,오이도,승강기 위치는 5번 출구 맞은편에 있습니다      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후      승강기를 이용하여 승강장으로 내려가십시오,Y,"||1@송중동주민센터, 미아4동파출소, 송중초등학교, 성바오로딸수도회, 솔샘지구대||,||2@창문여중.고교, 방천시장, 월곡종합사회복지관(성북외국인근로자센터)||,||3@서울북공고교, 하월곡시장||,||4@숭인치안센터, 길음2동, 숭인파출소||,||5@송천동, 영훈초등학교, 숭인시장, 기업은행||,||6@도봉세무서, 도봉119안전센터, 송천동우체국, 영훈초.영훈국제중.영훈고등학교||",긴급전화(역무실) : 02-6110-4171
186,4,4호선,명동,당고개,오이도,리프트 위치는 1번 출구쪽에 있습니다      리프트를 이용하여 지하 1층 대합실로 내려가십시오.      정면에 있는 개찰구를 통과하신 후      리프트를 이용하여 지하 4층 승강장으로 내려가십시오.,Y,"||1@서울산업통상진흥원 서울애니메이션센터, 서울특별시 건강가정지원센터, 서울특별시 소방재난본부, 서울종합방재센터, 서울특별시자원봉사센터, 서울시티투어버스타는 곳, 서울유스호스텔, 문학의집 서울, 드라마센터, 대한적십자사, 남산예술센터, 사회복지법인 남산원, KECPO경인건설처, 리라아트고등학교, 리라초등학교, 교통방송, 숭의여자대학, 남산창작센터||,||2@남산초등학교||,||3@남산동, 정화예술대학, 숭의여자대학, 숭의초등학교, 중국영사관, 남산케이블카||,||4@회현동, 남산경사엘리베이터, 기업은행||,||5@서울중앙우체국, 국민건강보험공단 중구지사||,||6@명동, 유네스코회관(유네스코한국위원회), 서울문화교류 관광정보센터||,||7@명동||,||8@명동, 명동헌혈의집||,||9@계성여고/계성초등학교, 명동성당||,||10@남대문세무서, 중부경찰서, 서울고용노동청, 서울고용센터||",긴급전화(역무실) : 02-6110-4241
198,4,4호선,경마공원,당고개,오이도,,Y,"||1@경마장||,||2@경마장||,||3@꽃단지||,||4@꽃단지||",긴급전화(역무실) : 02-502-7892
202,4,4호선,인덕원,당고개,오이도,,Y,"||1@인덕원,환승주차장,||,||2@삼호APT,청계산방면,서울구치소,삼성아파트,농어촌진흥공사||,||3@관양파출소,상업은행,||,||4@누가병원,수원방면,||,||5@중소기업은행||,||6@영산강민물장어||,||7@국민은행,관양여중,전자랜드,신라부페,||,||8@안양방면,관양1동,||",긴급전화(역무실) : 031-422-7788
207,4,4호선,대야미,당고개,오이도,,Y,"||1@대아동사무소,둔대초등교,||",긴급전화(역무실) : 031-437-7788
211,4,4호선,중앙,당고개,오이도,,Y,"||1@한일은행,오성예식장,||",긴급전화(역무실) : 031-485-7788
212,4,4호선,고잔,당고개,오이도,,Y,"||1@공단역,고잔1동사무소,고대부속병원,관공서및금융기관,||",긴급전화(역무실) : 031-482-7788
221,5,5호선,송정,방화,"상일도,마천",,Y,"||1@송정초등교, 공항파출소, 서울횟집 ||,||2@공항우체국, 공항전화국, 공항중학교, 공항초등교 ||,||3@공항로 ||,||4@공항동, 공항동사무소, 남부순환도로 ||",긴급전화(역무실) : 02-6311-5131
76,1,1호선,망월산,소요산,인천,,Y,"||1@호원동,신흥전문대,||",긴급전화(역무실) : 031-872-7744
77,1,1호선,회룡,소요산,인천,,Y,"||1@범골,회룡사방면,||,||2@장암,우성,쌍용APT방면||",긴급전화(역무실) : 
78,1,1호선,의정부,소요산,인천,,Y,"||1@우체국,병무청,세무서방면||,||2@시청,경찰서방면||",
86,2,2호선,한양대,시청,시청,"승강기 위치는 2번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@한양대학교 정문, 사근동, 사근동 주민센터, 한양지구대, 한양시장||,||2@한양대학교 본관||,||3@뚝섬방면, 성동교, 한양여자대학, 한양대체육관, 한양초등학교||,||4@덕수고등학교, 행당중학교||",긴급전화(역무실) : 02-6110-2091
94,2,2호선,시청,시청,시청,승강기 위치는 9번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      정면으로 이동하신 후 좌측 개찰구를 통과하십시오.      승강기를 이용하여 승강장으로 내려가십시오,Y,"||8@남대문(숭례문), 한국산업안전공단||,||9@IBK 기업은행 서소문지점||,||10@서울특별시청 서소문별관, 류관순기념관, 국민권익위원회, 상업등기소, 중부등기소, 국민건강보험공단, 러시아대사관, 서울시립미술관, 창덕여자중학교, 이화여자고등학교||,||11@서울특별시청 서소문별관, 상업등기소, 중부등기소, 서소문파출소||,||12@서울특별시청(다산플라자), 서울특별시의회별관, 덕수궁, 세종문화회관, 정동극장, 캐나다대사관, 서울지방국세청 남대문별관||",긴급전화(역무실) : 02-6110-2011
98,2,2호선,신촌,시청,시청,"승강기 위치는 4번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@동교동, 홍대방면, 창서초등학교, 기업은행 신촌지점||,||2@연세대학교, 한국사이버대학교(연세캠퍼스)||,||3@연세대학교, 한국사이버대학교(연세캠퍼스), 신촌연대앞헌혈의집||,||4@창천동, 이대방면, 신촌치안센터||,||5@이대방면, 대흥동주민센터, 창천초등학교, 창천중학교||,||6@서강대학교, 근로복지공단 서울서부지사||,||7@신촌삼익아파트, 노고산 치안센터||,||8@동교동로터리방면||",긴급전화(역무실) : 02-6110-2401
102,2,2호선,영등포구청,시청,시청,"승강기 위치는 2번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@문래동방면, 당산동2가, 영등포세무서, 서울남부종합고용지원센터, 노동부서울남부지청, 양남시장, 현대아파트, 영등포유통상가||,||2@영등포구청, 당산공원, 영등포구보건소, 현대아파트||,||3@국립농산물품질관리원, 국민연금공단 영등포지사, 근로복지공단 남부지사, 현대아파트, 유원아파트, 삼익아파트, 쌍용예가클래식아파트, 삼호아파트, 당산금호2차 어울림 아파트||,||4@당산동 3.4가, 영등포경찰서, 영등포구의회, 영등포구민회관,구의회,아트홀, 기업은행 당산동지점, 하이서울 유스호스텔, 아하 청소년 성문화센터, 한양.삼성아파트||,||5@당산동1가, 당산1동주민센터, 당산우체국, 동부센트레빌아파트||",긴급전화(역무실) : 02-6110-2361
106,2,2호선,양천구청,시청,시청,"승강기 위치는 1번 출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후 개찰구를 통과하십시오.      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@신정6동주민센터, 양천구청, 양천경찰서, 양천세무서, 양천문화회관, 양천구보건소, 서울출입국별관, 남부보호관찰소, 양천구의회, 한국전력공사 강서지점, 신목고등학교, 갈산초등학교, 서울은정초등학교, 목동아파트 13.14단지, 삼성래미안아파트, 목동우성아파트||,||2@신정7동주민센터, 계남초등학교, 봉영여중학교, 목동고등학교, 양천아파트, 목동아파트 9.10.11.12단지, 국민연금공단 양천지사||",긴급전화(역무실) : 02-6110-2451
118,2,2호선,서초,시청,시청,"승강기 위치는 1번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      우측 방향으로 이동하여 개찰구를 통과하십시오.      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@교대방면, 서초동, 개인회생.파산종합지원센터(대한법률구조공단)||,||2@반포로방면||,||3@예술의전당 방면, 서초3동우체국, 서초중.고교||,||4@방배동방면, 서울고교||,||5@대법원, 서래마을 방면||,||6@법원행정처.대검찰청, 서초경찰서, 공정거래위원회, 조달청, 국립중앙도서관||,||7@서울고등.중앙지방검찰청, 중소기업진흥공단 서울남부지부, 한국사학진흥재단, 특수보상심의위원회, 카톨릭대학교 의과대학.간호대학||,||8@서울고등, 중앙지방법원, 등기국||",긴급전화(역무실) : 02-6110-2241
411,12,인천선,박촌,계약,동막,,Y,"||1@마을회관, 박촌동, 동양동, 제일맨션||,||2@박촌슈퍼, 성모당약국, 계양농협(박촌지소)||,||3@박촌주유소, 소양초등학교, 아주아파트||,||4@한화프라자||",긴급전화(역무실) : 032-519-3112
10,1,1호선,오산,구로,천안,,Y,,긴급전화(역무실) : 031-250-6237
11,1,1호선,오산대,구로,천안,,Y,,긴급전화(역무실) : 031-375-9354
15,1,1호선,수원,구로,천안,,Y,"||1@주택은행,주공1단지,||,||2@대한투자증권,국민은행,||",긴급전화(역무실) : 032-253-2724
16,1,1호선,화서,구로,천안,,Y,"||1@상공회의소,담배인삼공사,||,||2@농촌진흥청,중소기업청,||",긴급전화(역무실) : 031-242-7788
17,1,1호선,성균관대,구로,천안,,Y,"||1@성균관대학교||,||2@동남보건전문대,천천1지구아파트,||",긴급전화(역무실) : 031-293-7788
18,1,1호선,의왕,구로,천안,,Y,"||1@의왕역,대우중공업,||,||2@경기은행,농협,우체국||,||3@철도박물관,철도전문대,||,||4@왕송저수지||",긴급전화(역무실) : 031-461-3263
19,1,1호선,군포,구로,천안,,Y,"||1@공단,농심안양공장,||,||2@군포동사무소,경기은행,농협,상업은행,우체국,순신대학교||",긴급전화(역무실) : 031-452-7788
20,1,1호선,금정,구로,천안,,Y,"||1@금정동,산본동,||,||2@호계동||",긴급전화(역무실) : 031-393-7788
24,1,1호선,석수,구로,천안,,Y,"||1@시흥유통센터,철제종합상가,서울은행,백조APT,시내버스각방면||,||2@한신APT,동아제약,||",긴급전화(역무실) : 031-472-7788
62,1,1호선,신설동,소요산,인천,승강기 위치는 12번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      제기동 방면으로 가실분은 정면에 있는 리프트를 이용하여 승강장으로 내려가십시오.      동묘앞 방면으로 이동하실 분은 좌측으로 이동하신 후 리프트를 이용하여 승강장으로 내려가십시오.,Y,"||1@용두동방면, 대광초등학교, 대광중,고등학교||,||2@보문동방면, 신설치안센터, 대광중,고등학교||,||3@용두동방면, 제기동방면, 용두시장, 한국의류시험연구원||,||4@용두2동, 동대문등기소, 용두초등학교, 시립동부병원||,||5@동대문우체국, 동대문 도서관, 기업은행, 국민연금 동대문중랑지사||,||6@청계천방면, 동대문 우체국, 동대문도서관, 신설동종합시장, 서울교수학습지원센터, 아름다운가게||,||11@동대문 방면, 묘각사(템플스테이), 신용보증기금 동대문지점||,||12@보문동 방면||",긴급전화(역무실) : 02-6110-1261
65,1,1호선,회기,소요산,인천,,Y,"||1@경희대,경휘의료원,기업은행,휘경우체국,||,||2@위생병원,나윤예식장,시립대||",긴급전화(역무실) : 02-966-6705
66,1,1호선,외대앞,소요산,인천,,Y,"||1@중랑교||,||2@외대||",긴급전화(역무실) : 02-960-1871
67,1,1호선,신이문,소요산,인천,,Y,"||1@중화동,신내동,태릉시장,한독약품,장안중학교,마을버스타는곳,북이문파출소,이문역,||,||2@구안기부,종합예술학교,이문초등교,석관중고등교,이문,동문자동차학원,이문3동사무소,||",긴급전화(역무실) : 02-943-7788
414,12,인천선,경인교대입구,계약,동막,,Y,"||1@신한은행, 국민은행, 성민의원, 부평초등교, 부평도호부청사, 계산1동사무소, 새마을금고, 계산1동 파출소, 계산우체국 ||,||2@기업은행, 평화은행, 조흥은행, 계양경찰서, 계양등기소, 기산아파트, 서해아파트, 삼천리아파트 ||,||3@계양구의회, 계양은빛의원, 근로복지공단북부지사, 계양보건소, 계산3동사무소, 한일아파트, 한양아파트 ||,||4@강창성미용전문학교, 부평농협계산지소, 계산예술극장 ||,||5@인천교대, 부평향교, 팬더아파트, 계산중앙감리교회, 동남아파트 ||,||6@북인천중학교, 계산새마을금고, 담배인삼공사, 교통회관, 홍진아파트, 동남아파트 ||",긴급전화(역무실) : 032-553-3394
418,12,인천선,부평시장,계약,동막,,Y,"||1@부평우체국, 부평동초등교, 부평중학교, 부평고, 북인천여상고, 신한은행, 동원증권, 교보증권, 정안과병원, 행복웨딩홀, 행복부페, 북인천케이블TV ||,||2@한미은행, 현대증권, 성업공업사, 부평제일성결교회, 부평시장, 개선문웨딩홀, 제일은행 ||,||3@북부교육청, 부평서초등교, 주택은행, 하나은행, 기독교부광교회, 대한투자신탁, 삼성증권 ||,||4@부원초등교, 부평여고, 갈보리교회, 부평중앙병원, 삼성생명 ||",긴급전화(역무실) : 032-512-3119
91,2,2호선,을지로4가,시청,시청,"승강기 위치는 7번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@입정동, 을지로3가, 조명기구상가||,||2@산림동, 청계천4가||,||3@주교동,미싱상가,||,||4@방산동,국립의료원,||,||5@주교동, 청계천방면, 미싱상가||,||6@방산동, 방산시장, 평화시장||,||7@오장동, 중부시장||,||8@충무로4,5가, 가구상가, 묵정공원, 기업은행 퇴계로지점||,||9@인현동2가, 중구청, 덕수중학교||,||10@을지로4가우체국||",긴급전화(역무실) : 02-6110-2041
92,2,2호선,을지로3가,시청,시청,"승강기 위치는 10번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      좌측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@수표동, 청계천 2가, 기업은행 본점, KDB 산업은행 종로지점, 청계천 방면, 서울고용센터, 서울고용노동청, 기계공구상가, 타일상가||,||2@청계천 방면, 을지로동주민센터, 서울청소년수련관, 기계공구상가, 타일상가||,||3@을지로2가 방면, 을지로동주민센터||,||11@충무로3가, 고당조만식기념관, 국민연금 종로중구지사||,||12@초동, 중부경찰서, 명동성당, 남대문세무서, 인제대학원대학교||",긴급전화(역무실) : 02-6110-2031
119,2,2호선,교대,시청,시청,"승강기 위치는 5번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오.",Y,"||1@서초아남아파트, 서초삼성래미안아파트, 서초한일아파트||,||2@서울교육대학교, 서울교대부설초등학교, 반서치안센터||,||3@서초4동, 검찰청(법원정문), 법원||,||4@유원아파트, 서초래미안아파트, 삼익아파트, 서초교대e편한세상, 아름다운 가게, 외국국적동포취업 교육장||,||5@서울교육대학교, 서울교대부설초등학교, 반서치안센터, 남부터미널 방면||,||6@서초4동, 고속터미널방면||,||7@삼풍아파트, 삼익아파트, 서초교대e편한세상, 유원아파트, 서초래미안아파트||,||8@서초3동, 남부터미널 방면||,||9@서초역 방면||,||10@검찰청(법원정문), 기업은행, 대한법률구조공단||,||11@법원(후문), 서울지방고등법원, 서울가정법원, 고속터미널 방면, 서울행정법원, 서울법원청사우체국||",긴급전화(역무실) : 02-6110-2231
121,2,2호선,역삼,시청,시청,"승강기 위치는 4번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오      좌측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@한국은행강남본부, 대한사회복지회||,||2@역삼동, 도곡동 방면, 서울대병원 강남검진센터||,||3@역삼1동주민센터, 기업은행||,||4@강남방면, 특허청서울사무소, 국립어린이청소년도서관, 지식재산전문도서관(한국지식재산연구원), 역삼1동우체국, 한국발명진흥회||,||5@강남방면||,||6@동호대교방면, 한국콘텐츠진흥원 콘테츠분쟁조정위원회||,||7@충현복지관||,||8@서울신용보증재단||",긴급전화(역무실) : 02-6110-2211
126,2,2호선,잠실,시청,시청,"승강기 위치는 5번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오      정면으로 이동하신 후 리프트를 이용하여 계단으로 올라가십시오.      자측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@방이동, 올림픽공원방면, 송파구청, 잠실우체국||,||2@송파대로, 석촌호수, 호수임광아파트||,||3@가락동.성남방면||,||4@레이크 팰리스, 서울놀이마당||,||5@잠실3동 주민센터, 잠실5 치안센터, 신천초등학교, 잠실주공아파트 5단지||,||6@잠실대교 방면||,||7@잠실6동, 국민연금공단 송파지사, 근로복지공단 서울동부지사, 장미아파트, 잠실중학교||,||8@신천동방면, 국민연금(본부), 국민건강보험 송파지사, 서울시 교통회관, 한국건강관리협회(건강증진센터), KDB 산업은행||",긴급전화(역무실) : 02-6110-2161
128,2,2호선,강변,시청,시청,"승강기 위치는 1번출구 쪽에 있습니다.      우측 방향으로 이동하여 개찰구를 통과하십시오.      좌, 우측 승강기를 이용하여 승강장으로 올라가십시오.",Y,"||1@구의3동주민센터, 현대아파트, 광남중.고교, 광나루지구대 방면||,||2@구의3동, 현대아파트, 프라임아파트||,||3@동서울종합터미널, 광진중학교, 성동초등학교, 한양아파트||,||4@동서울종합터미널, 서울구남초등학교, 서울광진학교, 성동초등학교, 우성아파트, 광진우체국, 국민건강보험공단 광진지사||",긴급전화(역무실) : 02-6110-2141
88,2,2호선,상왕십리,시청,시청,"승강기 위치는 2번출구 쪽에 있습니다.      승강기를 이용하여 지하1층 대합실로 내려가십시오.      우측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@양지시장||,||2@서울특별시시립장애인치과병원, 성동구보건소, 청계천 방면, 왕십리우체국, 한국전력, 왕십리 도선동 주민센터, 성동구 가정지원센터, 청계천 문화관, 시립동부 노인전문요양센터||,||3@한국예술고교, 왕십리종합시장||,||4@무학초등학교, 왕십리2동주민센터, 무학현대아파트, 하왕십리동, 하왕십리치안센터, 풍림아이원아파트||,||5@한신무학아파트||,||6@도로교통공단, 성동고교, 한진그랑빌아파트, 금호베스트빌아파트||",긴급전화(역무실) : 02-6110-2071
124,2,2호선,종합운동장,시청,시청,"승강기 위치는 6번출구 쪽에 있습니다.      승강기를 이용하여 지하 1층 대합실로 내려가십시오      좌측 방향으로 이동하신 후      좌, 우측 승강기를 이용하여 승강장으로 내려가십시오",Y,"||1@아시아공원, 송파문화원(아시아공원 내), 백제고분로, 월드메르디앙아파트||,||2@아시아공원, 송파문화원(아시아공원 내), 아시아선수촌, 잠실7동주민센터, 아주초등학교, 아주중학교||,||3@아시아공원, 정신여중.고교, 아주중학교, 우성아파트||,||4@탄천, 탄천길, 무동도길, 양잠길, 강남경찰서, 강남운전면허시험장, 잠실지구대||,||5@탄천, 테헤란로, 야구장, 강남소방서||,||6@주경기장, 야구장, 실내체육관, 실내수영장||,||7@주경기장, 실내체육관, 실내수영장, 잠실스포츠종합상가, 서울시 창작공간 장애인미술창작스튜디오||,||8@올림픽로, 학생체육관, 실내수영장, 신천중학교, 잠실엘스||",긴급전화(역무실) : 02-6110-2181
134,3,3호선,마두,대화,수서,,Y,"||1@장항2동사무소,장항파출소,서울은행,현대프리젠트,대우로얄마트||,||2@호수초등교,호수공원,||,||3@낙민공원||,||4@흥국생명||,||5@외환은행,한일은행,조흥은행,국민은행,한국통신,고양전화국,고양축협,한국토지공사,뉴코아백화점,마사회장외발매소,||,||6@낙민초등교,마두,강촌공원||,||7@마두2동사무소,뉴삼창마트,마두파출소,상업은행,일산농협||,||8@백석초,고교,백신중교,이마트,기업은행,화랑웨딩,볼링센타,||",긴급전화(역무실) : 031-904-7788
139,3,3호선,삼송,대화,수서,,Y,"||1@157번종점,구파발검문소,||,||2@157번종점||,||3@157번종점||,||4@신도농협,신도우체국,신도동사무소||,||5@농협대학,고양종고,삼송초등교||",긴급전화(역무실) : 02-371-0087
140,3,3호선,지축,대화,수서,리프트 위치는 1번 출구쪽에 있습니다      리프트를 이용하여 승강장으로 올라가십시오.,Y,"||1@지축초등학교||,||2@지축차량기지||",긴급전화(역무실) : 02-6110-3191
145,3,3호선,홍제,대화,수서,승강기 위치는 4번 출구쪽에 있습니다      승강기를 이용하여 지하 2층 대합실로 내려가십시오.      정면에 있는 승강기를 이용하여 승강장으로 내려가십시오.,Y,"||1@세검정길, 홍제초등학교, 서울여자간호대학, 풍림.벽산아파트, 문화촌아파트, 인왕시장, 녹번방면, 서울특별시 서대문 소상공인 지원센터||,||2@홍제동, 서대문세무서, 현대아파트, 기업은행, 인왕초등학교||,||3@홍제1동, 홍제1동 주민센터, 서대문구청, 홍제파출소, 홍제우체국, 고은초등학교, 서대문도서관, 홍제.서울맨션아파트, 서부노인복지센터, 서대문등기소, 무악재방면, 건강보험 서대문지사, 디지털서울문화예술대학||,||4@홍은동 사거리, 연희로, 홍제현대아파트, 홍제남양아파트||",긴급전화(역무실) : 02-6110-3241
